family name / surname;née / maiden-name;first name / forename;year of birth;birthday / birthdate ;place of birth / birthplace;year of death;day of death / deathdate;place of death / deathplace ;Nissen Bd. 1, S. (Seitenzahlen sind kursiv);Nissen Bd. 2 (1951: Nr. [ Titelverz. u. Künstlerverz. eingearbeitet - eigene VÖ: Nummern sind fett!;Nissen Suppl. 1966, Nummern (in Klammern: Sreitenzahlen);Barnhart (1965, Bd. ;"Artist; Botanist; C patron (of the arts) Fiction; Horticultur(al)ist; Translator";"function (Nissen sagt):Dr: Drucker; Kol: Koloriere; St. Kupferstecherin; Xyl: Holzschneider; Z: Zeichner, M Maler; L Lithographin)";town;country;Reference 1;Reference 2;Reference 3 ;Ref 4;Ref 5;Ref 6;Ref 7;
Acton;Knight;Frances;1793;;;;24.01.1881;Acton Scott Salop, England;;;;"Bd. 1: 11; Bd. 2: 302";A;"married T. P. Stackhouse Acton 1812; daughter of Thomas Andrew Knight (1759-1838). drew 3 plates for her father's Pomona Herefordiensis 1811 and a plate für Hogg and Bull's Herefordshire Pomona 1876-1885 ";;England;Desmond (1977);;;;;;;
Adamson;Gessner;Joy (Friederike Viktoria);;20.01.1910;Troppau, Schlesien, heute Tschechoslowakische Republik;;03.01.1980;near Nairobi, Kenia (murdered);;;;;A;conservationist, illustrated Jex-Blakes, Muriel: Some Wildflowers of Kenya. 1948;;;Strohmeier (1998);;;;;;;
Alcock;Scott;Nora Lilian Leopard;1874;18.08.1874;Hampstead, London, England;1972;;Berkshire, England;;;;Bd. 1: 30;B;Mycologist at Plant Pathology laboratory at Kew and Harpenden. Did pioneer research work on red core disease of strawberries. Contr. to Trans. Bot. Soc. Edinburgh;Edinburgh;England;Ewan et al. (2007);Desmond (1977);;;;;;
Allen;;Ruth Florence;;23.05.1879;Sturgeon Bay, Wisconsin, USA;;;;;;;Bd. 1: 41;B;american plant pathologist;;USA;http://en.wikipedia.org/wiki/Ruth_F._Allen ;Abruf am 10.08.2012;;;;;;
Allport;;Mary;1806;;;1895;;;;;;(Bd. 1: 43);A;Tasmania's first professional woman artist. Mary Allport painted miniatures, landscapes and studies of flora and fauna. Flowers in the wild, rather than in formal gardens, apparently appealed to Mary Allport as subjects. ;Hobart;Tasmania;N. N. (1986);;;;;;;
Andronikow, Fürstin v.;Wrangell;"Margarethe v. ""Daisy""";1877;07.01.1877;Moskau, Russia;1932;31.03.1932;Stuttgart, Germany;;;;;B;Pflanzenphysiologin, Agrikulturchemikerin. o. Prof. der Pflanzenernährungslehre an der Uni Hohenheim. ;Leipzig, Tübingen, Strasbourg, London, Paris, Reval, Hohenheim;Germany;Engelhardt (2003: 982-983);;Mägdefrau (o. Jz.);DBE&DBI;;;;
Anning;;Mary;1799;;Lyme Regis, Dorset, England;1847;;Lyme Regis, Dorset, England;;;;Fehlanzeige;;"paleontologist - Gates (1998: 71) zitiert aus Charles Dicken's magazine All the Year Round (1865) einen anonymen Autoren über Anning eine inscription under her memorial window: ""it [geology] was not a science when she began to discover, and so [she] helped to make it one.""";Lyme;England;Howard (2008: 84-85);Gates (1998: 68-71);Strohmeier (1998);Bodleian Library (1996);Haines (2001);;;
Araújo;;Dorothy Sue Dunn de;1947;;;;;;;;;Fehlanzeige;B;bras. Botanikerin;;Brasilia;belladonna2;;;;;;;
Ashby;;Alison Marjorie, Miss;1910;;;1987;12.08.1987;;;;;Fehlanzeige;A;South Australian flower painter. In dem vom South Australian Museum Board 1981 hrsg. 'Alison Ashby's Wildflowers of Southern Australia' -Band sind 34  Beispiele ihrer Zeichnungen. named after her: Acacia ashbyae und Solanum ashbyae. ;;Australia;N. N. (1986);;;;;;;
Ashworth;;Dorothy;1908;13.01.1908;Prestwich, Lancashire, England;1944;04.10.1944;;;;;Bd. 1: 83;;Assistant mycologist. R. Hort. Soc. Garden, Wisley, Surrey, 1935-1944;;England;Desmond (1977);;;;;;;
